Match ID,Map,Player,Team,Agent,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
378837,Ascent,MiniBoo,TH,Fade,1,2,0,1,2,1,1,0,0,4312,0,3
378837,Ascent,Wo0t,TH,Iso,4,0,0,1,0,1,1,0,0,4051,0,3
378837,Ascent,Boo,TH,Breach,0,0,2,1,1,0,1,0,0,4765,2,2
378837,Ascent,benjyfishy,TH,Reyna,2,0,0,1,1,0,0,0,0,4082,3,0
378837,Ascent,RieNs,TH,Kayo,4,0,1,0,0,0,0,0,0,4720,5,2
378837,Ascent,mta,KRÜ,Waylay,1,2,0,0,2,0,1,1,0,4959,1,3
378837,Ascent,Melser,KRÜ,Fade,2,3,2,1,2,1,1,0,0,4415,4,3
378837,Ascent,keznit,KRÜ,Killjoy,0,0,1,0,2,1,1,0,0,4760,4,1
378837,Ascent,Shyy,KRÜ,Killjoy,1,2,1,1,1,0,0,0,0,3966,1,3
378837,Ascent,heat,KRÜ,Brimstone,0,3,0,0,0,0,1,0,0,4848,0,3
378838,Abyss,LuoK1ng,TE,Sova,4,3,2,1,2,1,0,0,0,4517,2,2
378838,Abyss,heybay,TE,Harbor,0,1,0,0,0,1,0,0,0,4366,1,0
378838,Abyss,Biank,TE,Tejo,4,1,2,0,2,1,1,0,0,3950,4,0
378838,Abyss,Kai,TE,Sova,0,0,2,1,1,0,1,0,0,4969,1,1
378838,Abyss,FengF,TE,Vyse,4,2,0,1,0,1,1,0,0,3552,2,1
378838,Abyss,tex,LEV,Deadlock,0,0,1,1,0,0,0,0,0,3914,1,2
378838,Abyss,C0M,LEV,Jett,3,3,1,1,2,1,0,0,0,4264,2,1
378838,Abyss,kiNgg,LEV,Tejo,4,2,2,1,2,0,1,0,0,4819,3,2
378838,Abyss,Mazino,LEV,Cypher,4,2,1,0,1,1,1,0,0,3747,2,1
378838,Abyss,aspas,LEV,Clove,0,2,2,0,1,1,0,0,0,4916,2,2
378839,All Maps,Meteor,GEN,Deadlock,1,2,0,0,1,0,0,0,0,4520,4,0
378839,All Maps,Karon,GEN,Reyna,0,0,1,1,0,0,0,0,0,3721,5,0
378839,All Maps,Munchkin,GEN,Skye,5,3,2,1,1,0,1,0,0,3776,2,0
378839,All Maps,Lakia,GEN,Cypher,4,0,0,0,2,0,1,1,0,4575,4,2
378839,All Maps,t3xture,GEN,Chamber,4,3,0,0,2,0,1,0,0,3898,1,1
378839,All Maps,MaKo,DRX,Tejo,4,1,0,0,0,1,1,0,0,3729,2,1
378839,All Maps,Foxy9,DRX,Omen,2,3,0,0,2,0,0,0,0,4530,4,2
378839,All Maps,Flashback,DRX,Yoru,0,3,2,0,2,0,0,0,0,4078,5,1
378839,All Maps,BeYN,DRX,Vyse,2,2,2,1,0,1,1,0,0,3625,5,3
378839,All Maps,BuZz,DRX,Reyna,5,3,2,1,2,0,1,0,0,4948,1,0
378840,Haven,qRaxs,FUT,Harbor,2,3,0,1,0,0,1,1,0,4143,5,3
378840,Haven,cNed,FUT,Breach,2,1,0,1,0,0,0,0,0,4349,1,1
378840,Haven,AtaKaptan,FUT,Phoenix,3,3,2,1,2,0,1,0,0,4804,1,0
378840,Haven,MrFaliN,FUT,Fade,2,0,0,1,2,0,1,1,0,3592,0,0
378840,Haven,yetujey,FUT,Clove,3,1,1,0,0,0,0,0,0,4072,1,0
378840,Haven,Biank,TE,Vyse,2,2,1,0,2,0,0,0,0,4735,2,2
378840,Haven,FengF,TE,Viper,0,2,2,1,1,0,0,0,0,4332,3,2
378840,Haven,LuoK1ng,TE,Clove,3,1,1,1,2,1,1,0,0,4543,4,1
378840,Haven,Kai,TE,Yoru,3,2,2,0,1,1,1,0,0,4096,3,2
378840,Haven,heybay,TE,Neon,1,1,0,0,0,0,1,0,0,3995,4,0
378841,Abyss,AAAAY,FPX,Iso,1,3,1,0,0,0,0,0,0,4632,3,2
378841,Abyss,Lysoar,FPX,Tejo,4,3,2,1,0,1,0,0,0,4148,3,3
378841,Abyss,Autumn,FPX,Viper,5,2,2,1,1,0,1,0,0,4209,2,0
378841,Abyss,BerLIN,FPX,Vyse,3,2,1,1,0,1,0,0,0,3910,5,3
378841,Abyss,Life,FPX,Brimstone,1,0,2,0,0,1,0,0,0,3619,4,0
378841,Abyss,benjyfishy,TH,Brimstone,5,1,0,0,0,0,1,0,0,4334,0,3
378841,Abyss,Wo0t,TH,Harbor,4,0,2,0,2,1,1,0,0,4356,0,3
378841,Abyss,MiniBoo,TH,Brimstone,0,0,0,1,1,0,1,0,0,3969,0,0
378841,Abyss,Boo,TH,Sage,5,0,1,0,1,1,0,0,0,4757,1,3
378841,Abyss,RieNs,TH,Omen,5,3,1,1,0,0,0,1,0,3586,5,3
378842,Ascent,MaKo,DRX,Harbor,5,2,1,1,1,1,1,0,0,3673,0,0
378842,Ascent,BuZz,DRX,Tejo,5,1,0,0,0,1,1,0,1,3542,4,0
378842,Ascent,Flashback,DRX,Chamber,1,0,0,1,0,0,0,0,0,4160,5,1
378842,Ascent,Foxy9,DRX,Tejo,0,1,0,0,1,0,0,0,0,4423,4,0
378842,Ascent,BeYN,DRX,Viper,5,2,0,0,1,1,0,0,0,3926,2,2
378842,Ascent,Melser,KRÜ,Killjoy,5,3,0,1,2,1,1,0,0,4714,0,0
378842,Ascent,mta,KRÜ,Clove,5,3,2,1,1,0,0,0,0,3675,4,2
378842,Ascent,keznit,KRÜ,Jett,4,1,0,0,1,1,1,1,0,4489,3,0
378842,Ascent,heat,KRÜ,Cypher,3,3,2,1,1,0,0,0,0,4000,2,2
378842,Ascent,Shyy,KRÜ,Kayo,1,2,1,1,2,1,1,0,0,3629,5,3
378843,Bind,AAAAY,FPX,Fade,1,3,2,0,2,0,0,0,0,3852,4,2
378843,Bind,BerLIN,FPX,Killjoy,5,3,1,0,1,1,0,1,0,4796,2,3
378843,Bind,Lysoar,FPX,Fade,4,1,0,1,1,1,0,0,0,4775,2,0
378843,Bind,Autumn,FPX,Kayo,1,3,1,0,2,1,0,0,0,3893,3,2
378843,Bind,Life,FPX,Vyse,5,3,2,0,1,1,1,0,0,4811,3,3
378843,Bind,Sayf,VIT,Viper,4,0,0,0,0,1,1,0,0,4556,4,2
378843,Bind,ceNder,VIT,Phoenix,2,2,0,0,2,1,0,0,0,3654,0,0
378843,Bind,runneR,VIT,Viper,2,3,1,0,1,1,0,0,0,3843,1,0
378843,Bind,trexx,VIT,Neon,3,1,0,0,0,1,0,0,0,4667,1,2
378843,Bind,Kicks,VIT,Omen,2,2,1,1,2,1,1,0,0,4443,0,3
378844,Abyss,something,PRX,Fade,0,2,2,0,2,0,0,0,0,4487,5,2
378844,Abyss,mindfreak,PRX,Breach,2,0,2,0,0,0,0,0,0,4156,2,0
378844,Abyss,d4v41,PRX,Tejo,3,2,2,1,2,0,1,0,0,3851,2,3
378844,Abyss,f0rsakeN,PRX,Iso,4,0,2,1,0,1,1,0,0,4300,4,0
378844,Abyss,Jinggg,PRX,Gekko,1,2,2,0,0,0,1,0,0,4756,5,3
378844,Abyss,Melser,KRÜ,Raze,3,3,0,1,1,1,0,0,0,3755,2,3
378844,Abyss,Shyy,KRÜ,Raze,2,0,2,0,1,1,0,0,0,4725,2,1
378844,Abyss,keznit,KRÜ,Sage,3,0,2,1,1,1,0,0,0,4735,1,2
378844,Abyss,mta,KRÜ,Raze,1,2,0,1,0,0,1,0,0,4807,4,0
378844,Abyss,heat,KRÜ,Skye,3,2,1,1,1,0,1,0,0,4393,0,2
378845,Icebox,kiNgg,LEV,Chamber,1,2,0,0,1,1,1,0,0,4676,0,0
378845,Icebox,tex,LEV,Tejo,2,3,0,1,1,0,0,0,0,4703,1,0
378845,Icebox,C0M,LEV,Breach,5,3,1,1,2,0,1,0,0,4086,3,2
378845,Icebox,aspas,LEV,Omen,0,2,2,1,2,0,0,0,0,3648,4,0
378845,Icebox,Mazino,LEV,Jett,4,2,2,1,0,1,1,0,0,4735,3,3
378845,Icebox,Knight,BLG,Astra,1,1,0,1,0,0,1,0,0,4677,1,0
378845,Icebox,Flex1n,BLG,Breach,5,1,0,1,2,0,0,0,0,4386,5,0
378845,Icebox,whzy,BLG,Waylay,4,3,0,1,0,0,0,0,0,4634,0,3
378845,Icebox,nephh,BLG,Viper,4,0,1,0,2,1,0,0,0,4812,1,1
378845,Icebox,yosemite,BLG,Reyna,2,1,1,1,0,1,0,0,0,4651,4,1
378846,Abyss,benjyfishy,TH,Chamber,4,3,1,0,2,0,1,0,0,3922,3,0
378846,Abyss,Boo,TH,Harbor,4,1,2,1,2,0,1,0,0,4203,3,0
378846,Abyss,MiniBoo,TH,Waylay,3,3,2,1,2,0,1,0,0,3637,5,2
378846,Abyss,RieNs,TH,Chamber,2,1,1,1,0,0,1,0,0,4899,4,3
378846,Abyss,Wo0t,TH,Neon,1,1,0,0,0,0,0,0,1,4602,0,3
378846,Abyss,Sacy,SEN,Deadlock,4,3,0,1,1,1,0,0,0,3790,0,1
378846,Abyss,zekken,SEN,Fade,0,2,2,1,1,1,1,0,0,4249,2,2
378846,Abyss,TenZ,SEN,Deadlock,5,0,1,0,0,1,0,0,0,4573,0,1
378846,Abyss,johnqt,SEN,Iso,3,2,2,1,0,1,0,0,0,3663,3,0
378846,Abyss,Zellsis,SEN,Kayo,3,3,0,0,1,0,0,0,1,4753,5,1
378847,Icebox,Boo,TH,Deadlock,0,2,1,1,1,1,0,0,0,4592,0,3
378847,Icebox,benjyfishy,TH,Breach,3,2,2,1,0,0,0,0,0,4717,5,3
378847,Icebox,Wo0t,TH,Kayo,4,3,1,1,0,1,0,0,0,4776,5,1
378847,Icebox,RieNs,TH,Neon,0,2,0,1,1,0,1,0,0,4603,5,2
378847,Icebox,MiniBoo,TH,Iso,3,3,0,0,1,1,0,1,0,4461,1,2
378847,Icebox,Zellsis,SEN,Yoru,3,3,2,1,2,1,0,0,0,4768,2,0
378847,Icebox,zekken,SEN,Deadlock,1,1,2,0,0,1,0,0,0,3827,5,0
378847,Icebox,johnqt,SEN,Yoru,3,3,1,0,1,0,0,0,0,4950,4,2
378847,Icebox,TenZ,SEN,Neon,2,3,1,1,1,1,1,0,0,4202,4,0
378847,Icebox,Sacy,SEN,Breach,0,2,2,1,0,1,0,0,0,3626,1,0
378848,Icebox,Smoggy,EDG,Harbor,3,1,0,0,0,0,0,0,0,4259,3,2
378848,Icebox,CHICHOO,EDG,Sage,0,3,0,1,0,1,0,0,0,4032,0,3
378848,Icebox,S1Mon,EDG,Tejo,1,3,2,0,1,1,0,0,0,4794,0,1
378848,Icebox,ZmjjKK,EDG,Breach,5,1,0,1,2,1,1,0,0,4339,1,1
378848,Icebox,nobody,EDG,Yoru,2,3,2,0,1,1,1,0,0,3707,2,0
378848,Icebox,Zellsis,SEN,Phoenix,1,3,1,0,1,1,0,0,0,4962,0,2
378848,Icebox,TenZ,SEN,Sage,3,0,1,0,2,1,0,1,0,4112,5,1
378848,Icebox,johnqt,SEN,Brimstone,3,2,1,1,1,1,1,0,0,4087,4,1
378848,Icebox,Sacy,SEN,Deadlock,4,2,1,1,1,1,1,0,0,4160,4,1
378848,Icebox,zekken,SEN,Breach,3,1,2,1,1,0,1,0,0,4678,5,2
378849,Ascent,AtaKaptan,FUT,Waylay,4,3,0,0,2,0,1,1,0,3554,0,3
378849,Ascent,yetujey,FUT,Gekko,3,1,0,1,0,0,1,0,0,4848,4,2
378849,Ascent,cNed,FUT,Kayo,2,3,2,1,1,0,0,0,0,3701,1,2
378849,Ascent,qRaxs,FUT,Vyse,3,1,1,0,1,0,0,0,0,4600,5,3
378849,Ascent,MrFaliN,FUT,Gekko,3,3,1,0,1,1,0,0,0,3815,3,1
378849,Ascent,ban,TLN,Fade,0,2,1,0,2,1,0,0,0,3535,5,2
378849,Ascent,Governor,TLN,Reyna,4,0,1,0,1,0,0,0,0,4670,0,1
378849,Ascent,JitBoyS,TLN,Deadlock,0,3,2,1,2,0,1,0,0,4170,0,2
378849,Ascent,Crws,TLN,Astra,2,2,0,0,1,1,1,0,0,4284,2,3
378849,Ascent,primmie,TLN,Harbor,3,0,1,1,0,0,1,0,1,3775,0,0
378850,Abyss,MaKo,DRX,Waylay,1,2,0,1,2,1,1,0,0,4509,3,2
378850,Abyss,Flashback,DRX,Neon,3,0,1,0,2,0,0,0,0,4375,2,1
378850,Abyss,BuZz,DRX,Breach,2,0,2,1,1,0,1,0,0,3570,1,3
378850,Abyss,BeYN,DRX,Astra,3,3,1,0,2,1,1,0,0,4920,0,1
378850,Abyss,Foxy9,DRX,Fade,0,0,0,1,0,1,0,0,1,4218,1,0
378850,Abyss,benjyfishy,TH,Iso,3,2,2,0,1,1,0,1,0,4064,2,2
378850,Abyss,MiniBoo,TH,Sage,4,2,1,0,1,1,1,0,0,4011,5,2
