team,latitude,longitude
Bilibili Gaming,31.2304,121.4737
BLG,31.2304,121.4737
DRX,37.5665,126.978
EDG,31.2304,121.4737
EDward Gaming,31.2304,121.4737
FNATIC,51.5074,-0.1278
FNC,51.5074,-0.1278
FPX,31.2304,121.4737
FunPlus Phoenix,31.2304,121.4737
FUT,41.0082,28.9784
FUT Esports,41.0082,28.9784
G2,52.52,13.405
G2 Esports,52.52,13.405
GEN,37.5665,126.978
Gen.G,37.5665,126.978
KRÜ,-34.6037,-58.3816
KRÜ Esports,-34.6037,-58.3816
LEV,-34.6037,-58.3816
LEVIATÁN,-34.6037,-58.3816
Paper Rex,1.3521,103.8198
PRX,1.3521,103.8198
SEN,34.0522,-118.2437
Sentinels,34.0522,-118.2437
TE,30.5728,104.0668
Team Heretics,41.3851,2.1734
Team Vitality,48.8566,2.3522
TH,41.3851,2.1734
TLN,13.7563,100.5018
Trace Esports,30.5728,104.0668
VIT,48.8566,2.3522
